上呼吸道感染,上呼吸道疾病,丘疹性荨麻疹,中耳炎,发热,变应性鼻炎,呕吐,呼吸道感染,咳嗽,哮喘,外伤证,头晕,头痛,急性上呼吸道感染,急性喉炎,急性扁桃体炎,手足口病,支气管炎,消化不良,湿疹,猩红热样红斑,疱疹性咽峡炎,皮炎,皮疹,结膜炎,肺炎,胃肠功能紊乱,腹泻,腹痛,荨麻疹,时间
1,None,None,5,13,None,2,21,16,5,6,15,3,None,1,5,None,42,2,7,None,None,3,1,10,19,None,None,18,1,20170123
28,None,None,None,3,None,1,8,14,1,14,7,3,None,3,2,None,39,4,10,None,1,4,None,6,19,None,None,33,1,20170124
43,None,None,None,1,None,2,4,14,3,4,14,2,None,1,7,None,56,None,5,None,None,2,None,7,25,None,None,16,2,20170125
11,None,None,3,11,None,5,16,7,None,4,7,8,1,None,9,None,35,4,8,None,None,1,2,6,7,None,None,13,1,20170126
53,None,None,None,3,None,6,4,3,2,3,10,2,3,None,4,None,15,2,2,None,None,3,None,2,9,None,None,8,None,20170127
37,None,None,None,15,None,3,None,4,None,18,4,None,1,None,2,None,25,2,None,None,None,None,None,1,6,None,None,6,None,20170128
23,None,None,2,11,None,2,20,11,None,None,6,4,None,None,5,None,20,None,1,None,None,2,None,1,9,None,None,13,1,20170129
12,None,None,1,7,None,4,16,8,2,5,6,1,None,None,4,None,32,None,4,None,None,1,1,3,15,None,None,21,None,20170130
8,None,None,5,10,None,5,19,10,2,4,9,3,None,2,4,None,34,2,6,None,None,None,None,None,8,1,None,13,1,20170131
51,None,None,None,11,None,8,16,10,1,18,10,3,None,None,4,None,42,7,6,None,None,None,None,2,21,None,None,12,None,20170201
21,None,None,None,4,None,1,14,5,2,4,8,7,None,None,6,None,50,1,9,None,None,1,None,1,12,None,None,27,None,20170202
11,None,None,1,12,None,1,24,13,1,6,10,9,None,1,5,None,36,4,9,None,None,2,None,3,17,None,1,25,1,20170203
9,None,None,3,4,None,9,10,8,4,1,5,7,None,1,10,None,56,5,5,None,1,None,None,8,11,None,None,18,1,20170204
39,None,None,None,3,None,7,1,2,1,20,14,5,None,1,1,None,32,4,5,None,1,2,None,3,7,None,None,17,None,20170205
18,None,None,None,3,None,6,8,14,4,2,11,10,None,1,4,None,29,3,13,None,None,2,2,3,28,None,None,19,1,20170206
7,None,None,5,4,None,1,13,5,5,4,16,9,1,1,3,None,36,2,11,None,None,1,None,3,14,None,None,21,1,20170207
4,None,None,4,11,None,2,26,8,5,4,20,4,None,2,2,None,33,2,1,None,None,5,None,7,18,None,None,26,None,20170208
12,None,None,1,9,None,2,12,6,2,26,16,9,None,None,2,None,37,1,8,None,None,3,1,5,16,None,None,25,2,20170209
19,None,None,5,4,None,2,1,12,3,4,9,13,None,3,5,None,35,3,5,None,None,5,None,1,11,None,None,34,1,20170210
12,None,None,1,8,None,3,4,2,None,13,7,6,None,None,2,None,24,3,7,None,None,2,None,3,5,None,None,20,None,20170211
19,None,None,4,2,None,4,12,9,1,3,9,6,None,None,2,None,17,5,5,None,None,1,None,9,8,None,1,20,2,20170212
16,None,None,7,9,None,None,10,10,2,32,20,9,None,None,2,None,56,5,6,None,None,2,1,6,12,4,None,29,2,20170213
21,None,None,6,4,None,4,2,11,3,10,13,9,None,1,6,None,34,5,9,None,None,2,None,5,17,None,None,31,1,20170214
15,None,1,2,1,None,6,9,9,4,9,8,6,None,1,5,None,33,4,11,None,None,5,1,3,20,None,None,34,1,20170215
11,None,None,5,1,None,5,14,8,4,7,14,7,None,None,3,None,34,4,10,None,None,4,2,3,13,None,None,19,None,20170216
15,None,None,4,1,None,7,3,9,2,29,11,15,None,1,1,None,33,1,5,None,None,3,None,5,29,1,None,32,1,20170217
23,None,None,None,5,None,1,None,10,2,3,14,1,None,5,1,None,22,6,5,None,None,1,1,1,14,1,None,20,2,20170218
11,None,None,None,5,None,5,13,5,1,25,11,2,None,1,7,None,31,4,9,None,None,4,None,4,13,None,1,19,2,20170219
10,None,None,5,6,None,10,14,16,5,5,16,9,None,1,9,None,35,4,13,None,None,2,1,8,24,None,None,35,4,20170220
13,None,1,1,1,None,5,3,5,3,21,7,6,None,None,6,None,17,5,7,None,None,6,None,6,15,5,None,29,1,20170221
7,None,1,2,6,None,2,12,9,1,1,12,10,None,1,4,None,28,1,4,None,None,5,None,2,23,None,None,30,None,20170222
10,None,None,3,2,None,2,12,11,4,13,9,12,None,1,6,None,27,5,9,None,1,3,None,3,14,None,None,22,None,20170223
6,None,1,2,3,None,6,18,13,2,7,16,13,None,1,1,None,31,7,4,None,None,3,1,2,11,None,None,30,6,20170224
23,None,None,1,4,None,3,1,3,1,29,15,9,None,5,1,None,26,2,13,None,None,3,None,9,3,2,None,8,None,20170225
12,None,None,1,1,None,2,5,4,1,None,9,3,None,None,1,None,25,5,4,None,None,3,1,None,7,3,None,20,2,20170226
5,None,1,3,None,None,7,9,14,2,12,17,9,1,None,5,None,39,1,16,None,None,5,None,4,20,1,None,32,4,20170227
12,None,None,6,8,None,9,25,19,3,9,18,8,None,None,3,None,25,2,11,None,None,2,None,6,8,1,None,17,None,20170228
16,None,1,None,1,None,6,19,3,4,20,18,7,None,6,3,None,23,5,7,None,None,5,1,8,11,None,None,37,1,20170301
3,None,None,5,2,None,2,None,7,2,6,17,5,None,1,5,None,19,None,10,None,None,3,2,3,16,None,None,39,2,20170302
7,None,None,1,4,None,7,2,8,5,15,15,7,1,1,7,None,22,1,12,None,1,2,1,7,7,1,2,24,2,20170303
16,None,None,None,3,None,4,11,6,None,6,10,4,None,1,5,None,24,2,8,None,None,None,None,10,6,None,None,28,1,20170304
29,None,None,2,2,None,None,5,6,1,32,9,3,None,None,5,None,16,5,5,None,None,3,None,8,3,4,None,26,None,20170305
26,None,None,9,4,None,6,9,12,2,4,11,4,None,2,None,None,24,2,6,None,None,4,None,5,16,2,1,40,None,20170306
13,None,2,1,1,None,4,5,9,None,13,7,6,None,1,3,None,23,4,5,None,1,None,None,7,12,2,None,25,3,20170307
10,None,None,2,5,None,6,29,11,5,2,13,9,None,2,1,None,37,5,11,None,None,2,1,4,13,None,None,35,2,20170308
7,None,None,5,3,None,None,15,12,2,22,19,12,None,1,2,None,35,1,11,None,None,3,1,5,13,None,2,19,None,20170309
20,None,None,1,1,None,2,10,8,2,4,6,13,None,2,1,None,21,1,9,None,None,2,None,6,14,None,None,22,None,20170310
30,None,None,None,2,None,3,5,7,None,7,4,5,None,2,2,None,21,11,7,None,None,2,1,4,12,None,None,23,None,20170311
16,None,2,1,2,None,4,15,3,1,5,8,1,None,1,4,None,31,2,12,None,None,1,1,5,12,None,None,32,2,20170312
16,None,3,11,1,None,8,8,18,4,32,17,10,1,None,2,None,48,2,15,None,None,5,None,3,13,3,None,31,4,20170313
14,None,None,3,1,None,3,4,7,3,1,5,11,1,1,3,None,32,1,6,None,None,1,None,7,8,3,None,25,2,20170314
10,None,1,None,7,None,8,13,9,3,10,11,10,None,7,None,None,22,5,9,None,None,4,2,None,17,None,None,42,1,20170315
9,None,1,3,5,None,6,19,10,1,42,20,9,None,1,3,None,33,4,6,None,None,2,None,4,10,None,None,26,3,20170316
17,None,1,None,1,None,1,2,15,1,9,8,8,None,1,2,1,27,None,15,None,None,3,None,3,8,1,None,31,1,20170317
7,None,None,1,2,None,3,19,8,None,29,12,None,None,3,3,None,25,1,9,None,None,None,None,5,3,None,None,23,4,20170318
6,None,None,1,2,None,8,19,2,None,18,14,4,None,1,1,None,27,3,7,None,None,3,None,6,8,None,None,19,None,20170319
8,None,1,4,4,None,3,20,9,3,7,8,11,1,1,1,None,37,2,14,None,None,3,None,3,10,None,None,28,3,20170320
22,None,2,3,2,None,7,10,9,1,27,15,5,None,None,3,None,30,3,11,None,None,3,1,6,10,4,None,35,1,20170321
12,None,None,2,1,None,3,17,7,1,4,13,13,1,4,4,None,37,3,10,None,1,3,1,10,17,1,None,38,1,20170322
8,None,None,2,3,None,None,14,12,None,4,12,8,None,None,5,None,23,6,8,None,None,4,None,5,15,1,1,32,3,20170323
4,None,1,2,2,None,2,15,7,5,17,9,9,3,None,5,None,21,3,12,None,None,1,None,6,11,None,None,34,1,20170324
16,None,None,None,5,None,5,6,6,1,55,16,3,3,5,1,None,20,1,10,None,None,4,None,5,12,1,None,18,None,20170325
29,None,None,1,2,None,3,5,6,None,5,8,3,None,None,2,None,12,2,7,None,None,1,None,1,11,1,2,18,None,20170326
22,None,None,3,7,None,6,7,14,5,17,11,9,None,None,3,None,32,2,13,None,None,3,None,4,16,1,None,38,1,20170327
7,None,None,None,3,None,2,21,1,1,39,13,4,None,None,6,None,16,2,12,None,None,2,None,6,9,None,1,32,3,20170328
7,None,2,1,3,None,2,16,7,2,14,18,12,None,7,None,None,43,2,7,None,None,1,1,3,8,5,None,40,2,20170329
13,None,None,3,1,None,1,20,16,2,7,5,9,None,None,4,None,31,2,4,None,None,2,None,2,12,None,None,19,1,20170330
15,None,None,5,1,None,2,12,7,4,21,8,3,None,None,8,None,19,5,15,None,1,4,None,4,7,1,None,34,1,20170331
14,None,None,1,3,None,2,23,9,2,4,9,6,None,None,3,None,26,3,6,None,None,5,None,4,7,2,None,23,None,20170401
20,None,2,1,4,None,1,4,3,1,28,7,3,1,None,1,None,22,3,7,None,1,6,None,3,5,None,None,10,None,20170402
16,None,None,4,3,None,2,11,12,2,20,9,6,None,None,5,None,17,2,5,None,None,1,None,11,3,1,None,25,1,20170403
19,None,None,4,2,None,3,7,12,1,4,8,3,None,None,6,None,18,5,8,None,None,4,None,6,8,2,None,16,1,20170404
16,None,None,3,4,None,1,13,6,2,17,15,7,None,1,1,None,48,2,2,None,None,5,1,3,11,3,None,33,2,20170405
5,None,1,2,9,None,1,24,10,3,21,17,9,1,1,9,None,38,4,3,None,1,4,None,4,8,None,1,37,3,20170406
6,None,None,3,1,None,1,7,7,2,16,8,8,1,1,3,None,31,2,5,None,2,5,1,7,13,1,1,32,2,20170407
4,None,None,None,2,None,1,19,8,1,35,19,7,None,1,4,None,27,None,6,None,None,1,None,8,7,None,None,29,1,20170408
26,None,None,2,None,None,1,2,7,1,14,8,2,None,None,5,None,24,5,3,None,1,1,2,6,6,None,None,17,None,20170409
18,None,None,5,7,None,3,12,10,3,20,12,11,1,1,2,None,48,3,11,None,None,4,None,11,9,5,1,17,3,20170410
23,None,None,2,1,None,None,6,7,1,22,10,7,None,None,5,None,39,3,10,None,None,1,1,9,11,1,None,26,None,20170411
13,None,1,4,6,None,2,26,10,2,8,9,7,None,3,4,None,34,7,7,None,None,None,1,12,14,None,None,32,2,20170412
6,None,1,1,3,None,2,29,6,2,20,12,7,None,None,4,None,30,2,6,None,None,6,2,5,9,None,None,36,None,20170413
19,None,None,5,None,None,4,3,13,2,20,8,8,None,1,2,None,32,None,11,None,None,3,1,13,8,5,None,37,2,20170414
3,None,None,None,1,None,2,20,4,1,20,6,1,1,1,6,None,18,6,3,None,1,4,None,8,8,None,None,22,None,20170415
25,None,None,2,4,None,2,6,4,None,27,4,1,None,1,3,None,17,1,7,None,1,None,None,8,3,1,None,24,3,20170416
14,None,None,7,2,None,1,14,10,None,28,17,8,None,1,3,None,31,5,7,None,None,4,1,6,18,None,None,38,2,20170417
9,None,None,1,1,None,None,7,6,None,22,19,7,None,None,None,None,36,2,8,None,1,7,None,8,7,1,None,34,2,20170418
10,None,None,1,2,None,1,15,3,1,13,13,8,None,1,2,None,31,7,10,None,2,2,None,9,15,2,None,20,None,20170419
3,None,None,1,4,None,2,14,16,1,8,11,9,None,1,1,None,29,7,13,None,1,1,None,5,13,None,None,27,2,20170420
14,None,None,4,2,None,1,7,11,None,23,10,5,None,None,4,None,38,3,11,None,1,3,2,5,10,None,None,34,3,20170421
13,None,None,None,1,None,4,3,8,1,25,8,None,None,None,6,None,30,1,8,None,None,3,None,4,6,1,None,17,3,20170422
28,None,1,2,2,None,3,8,1,None,10,6,3,4,None,7,None,25,1,14,None,None,1,None,1,11,3,1,20,2,20170423
19,None,None,5,3,None,7,11,20,4,24,12,8,1,None,5,None,27,4,17,None,None,4,None,5,12,None,None,21,2,20170424
5,None,None,2,2,None,1,17,6,1,21,13,9,None,1,12,None,36,3,5,None,1,5,None,8,8,None,None,32,1,20170425
13,None,1,3,1,None,3,18,2,2,23,14,8,None,None,6,None,38,6,11,None,None,3,None,11,11,1,None,35,None,20170426
12,None,None,2,3,None,2,12,11,2,15,8,8,None,1,5,None,39,2,4,None,None,2,None,9,10,3,None,32,1,20170427
7,None,None,2,4,None,4,3,6,3,20,11,10,1,1,16,None,23,4,9,None,None,6,None,6,9,3,None,20,1,20170428
2,None,1,1,4,None,3,17,1,None,21,8,5,3,None,10,None,26,1,10,None,None,4,None,1,7,2,None,11,None,20170429
23,None,None,4,1,None,1,8,None,None,20,9,1,1,None,9,None,31,5,5,None,None,1,None,4,3,8,1,20,3,20170430
25,None,None,4,None,None,4,22,8,None,27,7,None,None,1,3,1,20,None,6,None,None,3,None,5,14,1,None,32,2,20170501
30,None,None,None,4,None,7,4,9,5,21,12,7,1,1,17,None,31,2,17,None,None,3,None,8,10,None,None,30,2,20170502
3,None,None,4,None,None,7,32,8,1,13,13,10,2,None,8,None,39,11,9,None,None,1,None,8,11,None,None,30,None,20170503
12,None,None,5,2,None,3,19,8,2,18,12,5,1,1,6,None,30,8,10,None,2,3,2,5,10,None,None,23,3,20170504
21,None,1,2,3,None,5,5,12,1,27,9,6,4,2,8,None,23,7,6,None,None,7,1,11,9,1,None,44,1,20170505
5,None,None,4,2,None,4,26,9,None,21,10,7,1,None,7,None,20,11,11,None,None,2,1,2,13,1,None,27,None,20170506
34,None,None,2,6,None,3,15,8,None,12,8,6,1,None,3,None,20,4,7,None,None,1,None,4,7,1,1,23,3,20170507
17,None,2,4,4,None,5,15,14,2,24,21,6,None,1,4,2,36,4,13,None,2,7,None,2,17,6,None,38,4,20170508
32,None,None,2,2,None,3,9,8,3,25,12,7,None,None,8,None,28,4,12,None,4,3,1,5,7,1,1,31,4,20170509
13,None,None,None,4,None,4,26,15,1,23,13,2,None,1,8,None,23,10,3,None,1,7,None,5,17,None,None,40,2,20170510
6,None,None,3,5,None,1,28,15,2,14,10,6,None,None,5,None,25,8,12,None,3,2,1,3,8,None,None,29,2,20170511
16,None,1,1,2,None,1,6,12,1,21,5,14,None,2,5,None,36,1,9,None,None,8,1,3,10,2,None,33,2,20170512
17,None,1,None,1,None,None,4,6,None,18,15,7,None,1,2,None,23,2,5,None,None,1,2,3,11,None,None,16,3,20170513
15,None,1,1,3,None,1,21,7,None,28,11,2,None,None,7,None,27,6,5,None,None,2,None,4,10,None,None,26,None,20170514
9,None,None,1,3,None,3,33,16,5,19,17,10,None,None,10,None,35,7,4,None,None,8,None,10,12,None,None,30,None,20170515
34,None,1,3,1,None,1,6,14,4,30,4,8,None,1,5,None,29,2,6,None,2,2,2,11,8,4,None,30,2,20170516
17,None,2,1,2,None,3,25,3,3,22,7,6,None,1,9,None,34,3,11,None,2,6,None,5,19,1,None,27,4,20170517
16,None,None,6,9,None,2,27,21,3,28,17,10,None,None,12,None,30,8,10,None,2,7,4,4,8,None,None,15,2,20170518
20,None,None,2,1,None,5,17,11,1,17,10,5,2,1,7,None,28,None,5,None,None,5,None,10,13,2,None,31,None,20170519
2,None,None,None,5,None,1,26,6,1,30,13,6,None,1,6,1,30,3,9,None,1,2,None,6,11,None,None,28,None,20170520
19,None,1,None,4,None,None,21,4,None,24,13,1,None,None,9,None,28,7,8,None,None,5,2,6,4,6,None,19,1,20170521
20,None,2,4,8,None,6,19,22,1,36,11,5,None,None,14,None,25,6,16,None,None,5,None,4,23,2,None,30,2,20170522
8,None,2,None,4,None,6,20,9,1,18,12,6,None,1,11,None,30,6,11,None,1,3,1,8,5,None,None,30,1,20170523
12,None,None,None,3,None,3,18,11,2,22,12,10,None,1,9,None,19,2,8,None,None,6,None,4,14,2,None,31,None,20170524
7,None,2,4,4,None,2,22,14,1,17,11,9,None,None,4,None,34,9,17,None,None,3,1,4,8,None,None,26,2,20170525
23,None,3,2,4,None,None,17,7,3,21,14,6,None,1,4,None,35,2,8,None,2,5,None,11,9,1,None,22,1,20170526
31,None,1,None,3,None,8,14,8,2,24,10,2,None,None,7,None,23,10,10,None,None,7,1,5,7,1,None,25,1,20170527
38,None,2,None,9,None,5,7,7,5,34,6,4,None,None,6,None,17,4,9,None,None,4,None,5,2,1,2,18,None,20170528
29,None,1,None,4,None,5,15,21,None,24,12,8,None,None,5,None,16,None,5,None,1,6,None,5,11,3,None,26,None,20170529
12,None,3,1,2,None,7,3,8,1,35,10,2,None,None,17,None,30,9,6,None,1,3,1,6,5,1,None,27,2,20170530
3,None,1,2,10,None,4,33,9,3,26,16,9,None,None,9,None,21,7,9,None,1,8,None,5,10,1,None,44,2,20170531
12,None,1,1,5,None,3,20,5,3,22,17,6,None,1,7,None,21,10,8,None,4,7,None,5,7,None,3,36,2,20170601
14,None,1,1,1,None,7,4,9,None,25,7,3,None,None,4,None,17,3,15,None,4,2,None,5,9,2,None,22,1,20170602
29,None,2,1,1,None,8,3,5,None,12,12,5,1,None,5,None,19,4,17,None,None,None,None,6,6,None,2,25,None,20170603
20,None,None,1,5,None,8,23,4,None,14,1,2,1,None,4,None,9,4,4,None,2,3,None,2,8,None,1,37,5,20170604
23,None,2,5,None,None,7,10,8,4,23,17,6,None,None,7,None,17,4,18,None,3,7,None,8,10,None,3,30,1,20170605
21,None,2,None,3,None,3,2,11,None,12,10,6,None,None,7,None,24,5,7,None,2,3,None,None,5,None,1,34,3,20170606
17,None,2,None,4,None,6,15,11,1,25,13,6,1,None,5,None,29,8,7,None,1,8,None,5,13,None,None,28,2,20170607
14,None,2,2,2,None,5,21,10,1,22,13,8,None,None,4,None,18,7,6,None,1,2,None,7,5,None,None,34,1,20170608
19,None,1,2,4,None,6,4,8,2,17,5,13,None,2,7,None,24,7,5,None,None,6,2,2,11,None,5,34,2,20170609
17,None,4,1,8,None,9,6,6,2,23,17,5,None,None,7,None,29,16,5,None,None,2,1,4,5,None,None,28,None,20170610
15,None,1,2,1,None,8,11,7,1,28,14,2,None,None,19,None,16,3,9,None,1,6,None,5,8,None,1,26,None,20170611
18,None,1,1,4,None,10,20,6,4,28,7,8,1,None,8,None,17,4,10,None,2,3,None,5,6,None,4,44,None,20170612
20,None,1,2,1,None,5,7,7,None,29,19,7,None,None,7,None,21,8,9,None,5,5,None,7,6,None,2,44,3,20170613
3,None,1,4,3,None,7,25,5,1,27,7,8,None,None,10,None,28,11,5,None,1,7,None,9,4,None,1,51,6,20170614
12,None,1,1,4,None,6,21,6,4,20,9,4,None,1,5,None,26,5,6,None,3,6,None,7,4,None,None,40,4,20170615
4,None,2,4,4,None,4,25,8,1,17,5,10,None,None,9,None,23,3,10,None,1,6,2,4,5,None,None,45,1,20170616
49,None,2,None,1,None,4,2,9,1,21,4,2,None,None,2,None,21,11,7,None,3,4,None,5,4,None,2,37,1,20170617
22,None,2,2,3,None,3,2,6,None,27,7,6,None,None,11,None,17,10,5,None,2,None,None,3,3,None,None,37,1,20170618
26,None,1,2,1,None,4,15,14,1,28,14,9,None,1,12,None,22,9,11,None,3,6,None,3,10,None,1,46,3,20170619
13,None,None,1,5,None,6,24,8,2,20,9,9,None,None,4,None,16,7,10,None,1,3,None,4,6,None,None,63,2,20170620
29,None,1,1,5,None,6,22,12,2,17,14,6,None,None,3,None,29,11,5,None,2,4,None,9,7,1,None,54,4,20170621
19,None,None,3,None,None,7,28,7,2,11,7,11,2,1,5,None,28,7,10,None,3,2,None,6,5,None,None,41,3,20170622
22,None,1,1,2,None,4,3,7,1,31,6,11,None,None,6,None,22,8,4,None,1,2,None,2,6,None,None,33,3,20170623
17,None,4,None,4,None,2,16,9,1,21,4,8,1,None,4,None,18,8,7,None,None,1,1,4,3,None,1,38,1,20170624
20,None,1,2,8,None,4,18,7,None,30,9,2,None,2,3,None,10,6,6,None,None,2,None,3,5,None,None,36,1,20170625
11,None,2,2,2,None,8,12,13,1,31,13,7,None,None,6,None,21,5,12,None,4,1,None,3,7,None,None,53,2,20170626
11,None,6,None,4,None,3,15,7,None,27,12,9,1,None,5,None,19,5,4,None,1,6,None,5,4,None,None,38,1,20170627
11,None,None,2,4,None,2,6,7,None,27,12,6,1,None,7,None,16,7,7,None,2,6,1,8,11,None,None,45,2,20170628
7,None,None,3,2,None,3,17,4,1,32,7,9,None,None,3,1,30,3,10,None,1,5,1,2,5,None,None,34,3,20170629
15,None,1,2,4,None,3,9,3,2,27,4,6,None,2,4,1,16,11,4,None,4,1,None,3,2,None,None,64,3,20170630
12,None,1,1,2,None,6,14,9,None,33,9,6,1,None,5,None,20,4,1,None,5,5,None,3,5,None,None,50,None,20170701
25,None,3,1,4,None,6,29,4,1,34,8,2,None,None,6,None,16,3,6,None,1,4,None,6,1,None,None,36,1,20170702
25,None,1,1,5,None,3,9,1,1,23,11,12,None,None,9,None,28,4,9,None,5,7,None,3,1,None,None,51,1,20170703
16,None,1,2,4,None,1,12,8,None,14,11,8,None,None,12,None,19,8,5,None,1,8,2,6,4,None,None,38,None,20170704
21,None,2,1,3,None,4,17,6,1,21,16,6,None,None,7,None,22,6,6,None,None,2,None,7,4,None,None,35,1,20170705
7,None,None,3,2,None,2,21,5,4,24,12,6,None,None,6,None,22,4,10,None,4,2,1,3,8,None,None,29,1,20170706
27,None,2,1,5,None,4,5,9,1,14,9,5,None,None,7,None,13,2,15,None,5,6,1,11,1,None,None,43,2,20170707
18,None,1,2,2,None,2,4,3,None,37,12,2,None,None,4,None,19,4,3,None,7,2,None,1,4,None,None,24,1,20170708
10,None,1,2,2,None,3,21,2,1,23,7,5,None,None,2,None,15,3,4,None,3,None,2,6,4,None,None,34,None,20170709
19,None,2,1,11,None,2,12,3,3,19,13,8,None,None,6,None,20,7,5,None,4,5,None,8,13,None,None,43,None,20170710
17,None,1,None,7,None,1,20,5,3,13,3,3,None,None,6,None,14,3,5,None,2,2,None,3,10,None,None,29,5,20170711
13,None,None,2,3,None,4,11,2,5,30,14,3,None,2,5,1,19,7,18,None,8,7,None,5,13,1,None,36,1,20170712
15,None,3,2,11,None,3,9,7,3,19,11,3,None,None,5,None,15,6,5,None,8,7,None,4,11,None,None,30,1,20170713
11,None,None,1,7,None,1,18,7,None,25,4,6,None,None,3,1,10,3,8,None,2,3,None,7,11,2,None,46,1,20170714
31,None,2,None,11,None,1,22,3,None,18,10,5,None,1,None,None,15,7,6,None,7,1,None,4,6,None,None,22,2,20170715
6,None,None,1,9,None,4,26,1,None,37,7,None,1,None,2,None,28,8,3,None,10,None,None,1,13,None,None,30,2,20170716
27,None,None,4,5,None,3,17,9,4,24,7,11,None,None,3,None,25,1,18,None,2,7,None,5,13,None,None,48,3,20170717
7,None,None,2,3,None,1,25,4,None,25,7,11,None,None,2,None,12,1,7,None,7,7,2,5,7,None,None,38,5,20170718
33,None,None,2,5,None,None,16,5,1,17,7,11,None,None,5,None,31,10,12,None,3,6,None,7,10,None,None,35,4,20170719
9,None,2,2,6,None,None,23,15,1,29,14,4,1,1,10,None,22,2,6,None,8,1,1,6,8,1,None,22,5,20170720
23,None,None,2,7,None,3,3,12,1,33,2,5,None,None,8,1,20,1,8,None,None,5,None,7,10,None,None,38,4,20170721
19,None,1,1,5,None,4,23,3,1,32,12,5,1,None,9,None,19,1,8,None,None,4,None,1,6,None,None,22,None,20170722
11,None,3,2,7,None,3,27,None,None,24,7,5,None,1,7,None,18,5,3,None,5,5,3,2,9,None,None,33,5,20170723
16,None,None,3,12,None,None,24,5,2,50,7,11,None,None,4,None,23,7,9,None,9,9,None,4,11,None,None,45,1,20170724
36,None,3,2,4,None,2,9,2,4,43,9,7,1,1,6,None,18,3,4,None,5,6,2,8,10,None,None,36,1,20170725
14,None,None,2,4,None,1,23,4,1,35,14,10,2,None,8,None,12,5,1,None,1,5,None,11,11,None,None,38,1,20170726
8,None,None,5,4,None,3,32,10,1,26,9,13,None,1,7,None,19,5,7,None,13,3,None,4,6,None,None,30,2,20170727
28,None,None,1,8,None,None,5,11,1,50,6,11,None,None,6,1,28,5,9,None,1,4,2,7,10,None,None,23,1,20170728
24,None,None,4,None,None,3,4,1,1,33,9,4,1,None,6,None,22,2,1,None,13,1,None,4,5,None,None,31,1,20170729
15,None,None,None,2,None,1,23,10,1,33,6,10,None,None,3,None,14,7,4,None,5,2,2,6,1,None,None,17,2,20170730
11,None,5,4,6,None,1,29,4,3,19,7,10,None,1,8,1,37,2,13,None,18,4,None,2,6,None,None,34,5,20170731
